 Question,Answer,Context,Intent,Entities,Difficulty,Volatility Level,Comments
Hello. I see the Cisco project is open now. Are we allowed to apply right now?,Yes,Project applications,Application inquiry,Live Schedule,2,2,2 for dificulty because I'm not sure about how we're handling dates/deadlines rn
When will the Cisco Track.pptx be unlocked?,Let me fix that. I did not notice it was locked.,Course resources,Resource request,"students, projects",3,2,No idea
"I went to the Capstone Showcase last year December 2nd, would I still be eligible for extra credit? Also would we have to show any proof of going to the showcase?",What is the rate of students getting into Cisco project+Cisco Academy?,Capstone showcase,Extra credit request,"Capstone showcase, extra credit",2,1,
"The RWC interviews today are at 6-8, yeah?","All interviews will take place tonight as agreed, 6-8 PM and 9-10 PM.",Track Interview,Event Participation,"RWC, interview",2,2,
are the 6-8PM interviews for RWC saturday or for wednesday/sunday?,For everyone who applied and was listed,Track Interview,Schedule Inquiry,"RWC, interview",2,2,
"Via my updated status, should show up tonight for CISCO?",Yes,Track Event,Event Participation,Cisco,2,2,Grab user role and compare to live schedule
There is no Thursday class today correct?,[Capstone General Schedule],Class Schedule,Schedule Inquiry,Live Schedule,2,3,Situational deadline? Even looking at the live schedule wont help if the professor makes a canvas announcement
How do I go about committing now that I’m on the sheets.,[Link to Cisco commitment channel],Approval Process,Project Commit,Commitment,1,1,
"Students who applied for the industry sponsored project don't need to attend tonight's session, right?","No, of course.",Track Exclusion,Event Participation,Industry,2,1,
So if our name doesn’t appear on the capstone google sheet do we just show up to the virtual open house on Saturday and find a project?,Correct. Industry projects are the default options for everyone,Open House,Event Participation,"Google sheets,Open House",2,2,
How will the interview process work for the industry track?,"## Open House Agenda:

<:ec2:1031781180632203275> Sponsors make brief 2-MINUTE introductions about their organizations, projects, and skills sets expectations.
<:ec2:1031781180632203275> Students present themselves optionally and ask questions based on the proposed projects.
<:ec2:1031781180632203275> To sign up for a sponsor to work with, students communicate face-to-face and join the sponsor's Discord channel to register their names. During the same open house, the sponsor conducts interviews with the prospective individuals, approves them, and then arranges an initial meeting to exchange contact information and agree on the details of the first formal meeting.

## Before the open house:

-    ☑️      Students will receive all project proposals with sponsors' contact information.

-    ☑️      Sponsors will receive all students' names, contact information, and background information.

-     ☑️ Communication or approvals between students and sponsors are only allowed once the open house starts.

## At the Open House:

🔹 During the Open House time,  all sponsors must interview their applicants and approve their best 4-5 people team using an online form to share with all sponsors at the Open House. They send all approvals by 4:30 PM on the open house day, using the provided online link.

🔹 Sponsors/students must decide on their projects/teams/PMs by 4:30 PM and complete the online team selection form you will be provided with. If there are still some vacancies, we will work with the sponsors and the students to fill all available spots in the next few days.

☑️ Sponsors' decisions will be available instantly at (  )

☑️ Student confirmations will be required & available at the DISCORD STUDENTS CONFIRMATION channel.

☑️ Once a sponsor project placement/approval is granted, the student must confirm their acceptance by midnight on the same day via the DISCORD CONFIRMATION CHANNEL. Failure to do so will result in automatic cancellation of the approval, and the spot will become available for other students. This information is under fine-tuning and it will be part of the Canvas system shortly and the FTF training next week. Needless to say, all students who were approved and made a commitment to non-industry projects CANNOT CHANGE THEIR PROJECTS under any circumstances.

Only operations and media should  attend the industry open houses because of their responsibilities among all who have been approved for non industry projects
 ",Track Interview,Interview Process,"Indursty, Interview",1,1,Document
"Regarding the startup open house today, is there a limit to the number of startups that members can apply to?","There is no limit to who can apply, but there is a limit to the team size. Each startup team can have up to four members, including the founder.",Project Applications,Team Limit,"Open House, Startup, Members",1,1,Document
"I see, thank you for the quick response! So does that mean if I get accepted by a startup founder, I don’t need to continue interviewing with other startup founders?","Since you can only be in one project, the answer is definitely yes.",Project Applications,Application Inquiry,"Startup, Interview, Founders",1,1,
Thank you. How many projects can we apply for?,You can only apply to one primary project and one backup project.,Project Applications,Application limits,Projects,1,1,
What if we didn’t get chosen for any of the projects we applied for?,Additional applications will be allowed and we will work with you until a project assignment is secured. If there are no open assignments we will create one from scratch.,Project Applications,Denied Application,Projects,1,1,"i want to say this is a 1 difficulty, but we have no data saying ""As long as you communicate, we will find you a project"""
"Should I attend the student startup open house tonight if I signed up for ""INDUSTRY-SPONSORED PROJECT (as a team member)""",Switching between startups and industry options is allowed.,Open House,Event Participation,"Industry, Projects, Open House",2,2,
Oh. I do not want to do that and want to participate in the industry option. Should I show up to the open house tonight?,It is only an option.,Open House,Event Participation,"Open House, Industry",2,2,
Only those wanting to startup projects (either signed up for it or wanting to switch from industry projects) should attend the open house today right? Other non industry (like operations or media) are not needed today?,"Operations are always needed all the time. They already know that. 

Media and communications will start soon and they will also be involved in most events. Today is not required.

Students either signed up for  startup or wanted to switch from industry projects) should attend the open house today",Open House,Event Participation,"Indursty, Open House, Operations, Media, Projects",2,2,what is that answer?
